payment_id,order_id,customer_id,customer_name,customer_email,customer_phone,amount_inr,currency,failure_reason,error_description,created_at,retry_count,last_attempt_at
pay_8d244e3ec4dabd,order_6e191042370bc0,cust_69efafb13a,Priya Rao,priya.rao78@example.com,9463925049,534.21,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-24T16:36:40+00:00,0,
pay_1f45dbfdf7dc67,order_74685b98d2fe2f,cust_a446be7236,Ishita Verma,ishita.verma73@example.com,9786650291,4559.64,INR,customer_cancelled,Customer cancelled the payment during checkout,2026-08-23T17:51:40+00:00,0,
pay_c4c2e2e3444ea7,order_4b22d3081c8eae,cust_00d4af5974,Rahul Kapoor,rahul.kapoor7@example.com,9875340444,517.13,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-26T00:39:40+00:00,2,2026-08-26T01:05:44+00:00
pay_6808593fdfed2c,order_2790cebdbfddc3,cust_dd56cc943c,Vivaan Gupta,vivaan.gupta23@example.com,9274484941,484.4,INR,customer_cancelled,Customer cancelled the payment during checkout,2026-08-26T06:31:40+00:00,0,
pay_760debbb3b70b3,order_415d174a75a669,cust_cdfc6ee0e6,Meera Verma,meera.verma64@example.com,9599561877,1498.3,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-24T02:19:40+00:00,0,
pay_7900f7f993829b,order_ceb81f9d7914c1,cust_18d0752b18,Sanya Nair,sanya.nair12@example.com,9807577342,1043.63,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-23T19:43:40+00:00,0,
pay_7010f7197e695d,order_e3b137fc0a3450,cust_9a8cfa3c52,Priya Rao,priya.rao52@example.com,9368830491,10884.26,INR,issuer_unavailable,Card issuing bank system temporarily unavailable,2026-08-26T17:45:40+00:00,1,2026-08-27T06:30:57+00:00
pay_afd380c4271358,order_175a81ec112fa6,cust_6e8f75a117,Nikhil Menon,nikhil.menon79@example.com,9203685265,5164.07,INR,fraud_suspected,Payment blocked by risk engine - suspected fraudulent activity,2026-08-23T12:08:40+00:00,0,
pay_54b4a48268586e,order_0ff0a55c6a702e,cust_63b4c08b6b,Aditi Iyer,aditi.iyer34@example.com,9926561919,1040.24,INR,card_blocked,Card has been blocked by the issuing bank,2026-08-26T14:00:40+00:00,0,
pay_ebb7a385aa0b7b,order_a9d3c2e6505cc6,cust_e6697833b8,Vivaan Pillai,vivaan.pillai27@example.com,9422468580,1458.29,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-25T02:14:40+00:00,0,
pay_f41402b1e4429e,order_bf5d2fdf89c8d2,cust_9a6ec2f5cc,Aarav Singh,aarav.singh35@example.com,9336801619,4797.65,INR,card_expired,Card used for payment has expired,2026-08-25T08:44:40+00:00,0,
pay_687a48509d9b62,order_08601833479d0c,cust_71818dcf37,Ananya Singh,ananya.singh72@example.com,9577488537,10308.81,INR,network_error,Network interruption during payment authorization,2026-08-23T09:28:40+00:00,0,
pay_571aa8766c3075,order_f50bea63371ecd,cust_17be31111a,Ananya Reddy,ananya.reddy1@example.com,9507943839,314.48,INR,card_expired,Card used for payment has expired,2026-08-24T23:37:40+00:00,0,
pay_ba81edd9587ef3,order_9b3080d56fb782,cust_629c2ae31d,Karan Sharma,karan.sharma26@example.com,9719106699,2268.22,INR,network_error,Network interruption during payment authorization,2026-08-26T18:18:40+00:00,3,2026-08-26T21:34:42+00:00
pay_d4ffa66675c8e9,order_168fae125ca260,cust_3e49fd091b,Ananya Nair,ananya.nair907@example.com,9567804106,4670.94,INR,Insufficient Balance,Account balance too low to complete transaction,2026-08-26T18:49:40+00:00,0,
pay_ebc2026faf34cf,order_bf2c14a03a3c8a,cust_1933918cfa,Karan Das,karan.das62@example.com,9916440738,306.02,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-23T13:18:40+00:00,1,2026-08-26T20:07:08+00:00
pay_142c3fe860e7a1,order_a0ee89aed453dd,cust_5c941cf0dc,Ishita Singh,ishita.singh2@example.com,9719927151,15107.68,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-25T23:23:40+00:00,0,
pay_7a0ecfea958ca9,order_87f7e1fbda4bd9,cust_82010c62f5,Rohan Nair,rohan.nair16@example.com,9186019028,313.83,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-26T06:11:40+00:00,0,
pay_cc9fd3349bdf03,order_4f8d5238288b78,cust_687213f98d,Arjun Kapoor,arjun.kapoor56@example.com,9200082623,13863.35,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-26T16:15:40+00:00,0,
pay_a2bc372f7412b2,order_5ec42e0829a3b2,cust_4458a885ab,Aditi Sharma,aditi.sharma3@example.com,9853573823,1608.87,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-23T21:00:40+00:00,1,2026-08-24T08:38:53+00:00
pay_9832685694340a,order_6b5252e314fcdd,cust_85d5169590,Aditi Singh,aditi.singh17@example.com,9439699535,543.07,INR,fraud_suspected,Payment blocked by risk engine - suspected fraudulent activity,2026-08-27T00:31:40+00:00,2,2026-08-27T07:53:41+00:00
pay_48f4ef125e9953,order_8b10550cd5704f,cust_fbddcf7c9c,Aditi Kapoor,aditi.kapoor19@example.com,9966616964,5379.79,INR,customer_cancelled,Customer cancelled the payment during checkout,2026-08-26T05:42:40+00:00,0,
pay_0de051a669ca97,order_9f64eeed5c9d92,cust_71299889a0,Arjun Gupta,arjun.gupta55@example.com,9916033628,308.43,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-26T18:25:40+00:00,0,
pay_f1b64afed31edf,order_4b8e63d4ce7607,cust_cde22f1c56,Ananya Iyer,ananya.iyer68@example.com,9223662532,2664.17,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-26T08:06:40+00:00,1,2026-08-26T21:26:53+00:00
pay_7b85179ad5b077,order_74eff5453e6526,cust_30cbd75562,Diya Rao,diya.rao57@example.com,9743576792,2503.43,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-26T17:33:40+00:00,2,2026-08-27T02:39:01+00:00
pay_7a8d03aa782a65,order_f72ada9b2f3275,cust_dc99e04cf0,Priya Pillai,priya.pillai47@example.com,9612957813,536.2,INR,customer_cancelled,Customer cancelled the payment during checkout,2026-08-26T16:34:40+00:00,2,2026-08-27T01:31:50+00:00
pay_9f8ded9756abf2,order_148f8b74a65bb1,cust_aca2b148da,Aarav Pillai,aarav.pillai61@example.com,9672972597,495.96,INR,card_blocked,Card has been blocked by the issuing bank,2026-08-26T14:48:40+00:00,2,2026-08-26T20:26:52+00:00
pay_e25d36eb9e9a9f,order_ea4e361753f838,cust_102efde5a5,Arjun Singh,arjun.singh70@example.com,9782259766,516.45,INR,issuer_unavailable,Card issuing bank system temporarily unavailable,2026-08-25T08:22:40+00:00,1,2026-08-26T11:26:39+00:00
pay_3a3c563e4bd6ce,order_039f3a254d6168,cust_4639447b20,Neha Nair,neha.nair46@example.com,9148872110,2739.16,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-23T12:37:40+00:00,3,2026-08-26T17:03:00+00:00
pay_8da01097be0f05,order_9ad620ab48212d,cust_341ef40b57,Aarav Das,aarav.das20@example.com,9838194420,951.94,INR,network_error,Network interruption during payment authorization,2026-08-24T10:55:40+00:00,3,2026-08-24T18:29:14+00:00
pay_56febfb9ebe9e2,order_deaf528d2e7098,cust_6699cd99a8,Aarav Singh,aarav.singh903@example.com,9174716780,953.7,INR,customer_cancelled,Customer cancelled the payment during checkout,not-a-date,1,2026-08-24T00:35:39+00:00
pay_7ed70ed7b19499,order_668409e3f1f834,cust_0964fbbf8c,Aditi Rao,aditi.rao54@example.com,9588365604,534.7,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-25T12:48:40+00:00,0,
pay_00a81de9d20f87,order_d664d2644c6e27,cust_a8f1e091ff,Kabir Verma,kabir.verma58@example.com,9625747313,5433.16,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-25T21:25:40+00:00,1,2026-08-27T03:39:34+00:00
pay_972a846916419f,order_914dcfaef10013,cust_0d77c5a0e2,Aarav Verma,aarav.verma904@example.com,9267052653,9906.3,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-23T09:41:40+00:00,0,
pay_8e676a01d86a64,order_47503f1dc33a1f,cust_6dda4f8dce,Ishita Verma,ishita.verma901@example.com,9702332331,-1499.00,INR,card_expired,Card used for payment has expired,2026-08-24T07:42:40+00:00,0,
,order_de3b496f6c4596,cust_f7e8f8e50d,Ishita Iyer,ishita.iyer900@example.com,9408839723,5168.98,INR,issuer_unavailable,Card issuing bank system temporarily unavailable,2026-08-24T10:11:40+00:00,0,
pay_c2dff33556666f,order_c083b73a473bd3,cust_4094dded6b,Ananya Iyer,ananya.iyer37@example.com,9996478772,9653.74,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T22:03:40+00:00,0,
pay_6fac16730ad452,order_13eecdc6ebd14d,cust_6de5933293,Nikhil Kapoor,nikhil.kapoor902@example.com,9715683222,N/A,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-23T15:00:40+00:00,0,
pay_20ac3703eb6714,order_06e745f988bc53,cust_907bfe3697,Arjun Menon,arjun.menon36@example.com,9811890569,10447.32,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-24T19:13:40+00:00,0,
pay_fb140bc3304b85,order_620a60ac926154,cust_69288e92c6,Rahul Kapoor,rahul.kapoor59@example.com,9146865930,9909.7,INR,fraud_suspected,Payment blocked by risk engine - suspected fraudulent activity,2026-08-24T19:52:40+00:00,0,
pay_82dc4c8e36b522,order_f5b78cc7e6b3c9,cust_a8aa71582b,Priya Reddy,priya.reddy29@example.com,9191048514,4964.0,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-25T01:24:40+00:00,0,
pay_1b494e15e2add9,order_2d06e8cf3805f9,cust_8498e113b2,Nikhil Rao,nikhil.rao31@example.com,9598806645,322.48,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-25T05:59:40+00:00,0,
pay_3e2b6091a092f5,order_4d3485c5c5c14e,cust_ce3714af99,Priya Singh,priya.singh40@example.com,9229981882,1371.88,INR,card_expired,Card used for payment has expired,2026-08-23T18:16:40+00:00,3,2026-08-26T04:03:41+00:00
pay_f5c9b0479c10c5,order_c342bd2bf29545,cust_43bfd93136,Sanya Kapoor,sanya.kapoor49@example.com,9809129316,9609.8,INR,issuer_unavailable,Card issuing bank system temporarily unavailable,2026-08-25T08:46:40+00:00,2,2026-08-26T06:26:49+00:00
pay_01d7425638602a,order_0f1259e0a18ff6,cust_080aadfbe7,Rahul Verma,rahul.verma11@example.com,9454794895,304.28,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-26T02:00:40+00:00,0,
pay_ece66fa2fd5166,order_3838b3268e9442,cust_c4b032ccd7,Aditi Singh,aditi.singh4@example.com,9933223566,1398.09,INR,card_blocked,Card has been blocked by the issuing bank,2026-08-24T00:04:40+00:00,0,
pay_1b0498637d7ddb,order_a2b5b4985cb85a,cust_b5122df875,Vivaan Gupta,vivaan.gupta41@example.com,9264272995,4511.75,INR,issuer_unavailable,Card issuing bank system temporarily unavailable,2026-08-24T12:47:40+00:00,1,2026-08-24T17:49:56+00:00
pay_f72169bb809627,order_19b17e80dea4ae,cust_1986b4b270,Neha Pillai,neha.pillai60@example.com,9664735673,998.07,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-25T08:50:40+00:00,3,2026-08-27T08:20:22+00:00
pay_4dc82a1ef2f9e5,order_1e52d7703f8971,cust_9b37a22b6a,Aditi Menon,aditi.menon48@example.com,9740086326,278.17,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T19:10:40+00:00,0,
pay_25f934bf9bb961,order_9fd34579466772,cust_b64fa54a8c,Vivaan Rao,vivaan.rao77@example.com,9449165212,13719.56,INR,customer_cancelled,Customer cancelled the payment during checkout,2026-08-25T05:47:40+00:00,1,2026-08-26T17:30:41+00:00
pay_0a4e5b70a6d964,order_3f4df561f319c1,cust_9f0fda8d05,Aarav Pillai,aarav.pillai38@example.com,9263619298,1544.01,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T12:11:40+00:00,3,2026-08-25T13:41:40+00:00
pay_8d7248e2951f58,order_0ab54bde20a045,cust_eededb07e6,Ananya Kapoor,ananya.kapoor22@example.com,9954829815,1008.11,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-27T08:07:40+00:00,0,
pay_475287aa5408f9,order_c5f8bc16f7860b,cust_8268690ba4,Rahul Gupta,rahul.gupta25@example.com,9529151399,1356.19,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-25T17:22:40+00:00,1,2026-08-26T09:58:02+00:00
pay_d0a444329cd6c8,order_6d3ee1dc813924,cust_722764e68c,Sanya Verma,sanya.verma32@example.com,9270894498,5448.95,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T23:06:40+00:00,2,2026-08-26T23:44:21+00:00
pay_171e16cc5da36f,order_43b38eb403902c,cust_5e5ba13d74,Aditi Iyer,aditi.iyer69@example.com,9822443971,10933.45,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-26T04:19:40+00:00,1,2026-08-27T04:53:55+00:00
pay_dc96925eccf3a1,order_30b187ef310c0c,cust_6c006f6123,Ananya Menon,ananya.menon13@example.com,9297018781,455.15,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-24T21:19:40+00:00,1,2026-08-26T22:22:38+00:00
pay_79a28903fbe33b,order_12a4def0c4bbb7,cust_a1384ddce2,Karan Verma,karan.verma30@example.com,9718121922,1393.28,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-26T02:31:40+00:00,0,
pay_50f0fd0a750cab,order_12922f83ef8c48,cust_ff9ab5c29f,Rohan Das,rohan.das18@example.com,9704509817,9260.83,INR,card_blocked,Card has been blocked by the issuing bank,2026-08-23T13:54:40+00:00,0,
pay_3c1bdacc18e193,order_637e4b0122bae1,cust_f30a9e32ab,Priya Das,priya.das71@example.com,9897940629,287.3,INR,fraud_suspected,Payment blocked by risk engine - suspected fraudulent activity,2026-08-25T05:07:40+00:00,0,
pay_046a0df5cafda6,order_6786d50638ba8a,cust_a9f948b24e,Ananya Rao,ananya.rao44@example.com,9724440558,15436.68,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T09:26:40+00:00,0,
pay_3f87e362cf8d44,order_b386f7a4c99160,cust_09e9db0adf,Meera Menon,meera.menon24@example.com,9605399561,10603.41,INR,customer_cancelled,Customer cancelled the payment during checkout,2026-08-27T06:03:40+00:00,1,2026-08-27T07:35:22+00:00
pay_0b19f88e9d77a4,order_ddf275ebe8a3f3,cust_754246464d,Aditi Rao,aditi.rao76@example.com,9790781796,494.21,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-24T23:25:40+00:00,0,
pay_2321d1e1c47104,order_53ffd3a24a1935,cust_bf3c51407f,Priya Sharma,not-an-email,12345,281.32,INR,card_expired,Card used for payment has expired,2026-08-26T04:49:40+00:00,3,2026-08-26T06:50:20+00:00
pay_03c72ba8d605e7,order_c0e9ab30ed2662,cust_680ac07a2a,Sanya Verma,sanya.verma14@example.com,9621453189,454.15,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-25T00:23:40+00:00,2,2026-08-26T16:29:04+00:00
pay_32ffe2944d57d8,order_7bb38605da7431,cust_9269869861,Meera Verma,meera.verma65@example.com,9485429460,10379.59,INR,card_blocked,Card has been blocked by the issuing bank,2026-08-25T00:52:40+00:00,3,2026-08-25T22:40:41+00:00
pay_f26b4776913e4d,order_7c69dee1bb5e4b,cust_c2b6d2c5fa,Neha Sharma,neha.sharma9@example.com,9671988889,2368.78,INR,card_expired,Card used for payment has expired,2026-08-26T18:15:40+00:00,0,
pay_0b49452d46d483,order_217d65a0c56811,cust_295d6fbf43,Arjun Kapoor,arjun.kapoor21@example.com,9895890631,274.62,INR,card_expired,Card used for payment has expired,2026-08-24T18:58:40+00:00,2,2026-08-27T08:36:21+00:00
pay_da09dfa052828d,order_162f8a24ef4361,cust_3e6dd58b73,Arjun Singh,arjun.singh42@example.com,9905817775,10650.4,INR,gateway_error,Payment gateway returned a temporary processing error,2026-08-24T12:25:40+00:00,0,
pay_ad64b56c610faa,order_9d9262af2c8d0e,cust_8c459ce267,Ananya Gupta,ananya.gupta28@example.com,9995205588,937.43,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-25T05:30:40+00:00,0,
pay_4797b2c9572072,order_e14eb70db380c7,cust_8441aefd02,Nikhil Gupta,nikhil.gupta43@example.com,9305145276,14135.42,INR,invalid_otp,"Customer entered incorrect OTP, payment authorization failed",2026-08-27T05:43:40+00:00,2,2026-08-27T06:34:19+00:00
pay_f6b751f79b7492,order_c71d5e601d5206,cust_4fa03f26f6,Neha Das,neha.das39@example.com,9216070149,2632.4,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-26T18:38:40+00:00,3,2026-08-27T03:07:36+00:00
pay_085b15fb4a8ff8,order_48603b32b4fb0e,cust_1238d63074,Sanya Iyer,sanya.iyer50@example.com,9838073939,9900.02,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T11:10:40+00:00,0,
pay_badcc32ac1590f,order_4fcca39ab683d2,cust_a65e688eab,Kabir Das,kabir.das10@example.com,9500957212,10927.63,INR,issuer_unavailable,Card issuing bank system temporarily unavailable,2026-08-24T20:39:40+00:00,0,
pay_c9e260744f1639,order_5d678bb1945ef2,cust_e8dd5e5a17,Arjun Das,arjun.das67@example.com,9416872439,539.26,INR,card_expired,Card used for payment has expired,2026-08-23T12:25:40+00:00,1,2026-08-24T08:21:51+00:00
pay_e88da71926242b,order_1247ea4e246998,cust_4ebfa5c3ca,Arjun Das,arjun.das51@example.com,9738923667,9228.63,INR,bank_timeout,Bank server did not respond within timeout window,2026-08-24T05:32:40+00:00,2,2026-08-25T10:22:14+00:00
pay_3ce915e7c9d6a6,order_2c9b662e040a3a,cust_bde13c1b20,Kabir Iyer,kabir.iyer75@example.com,9552002959,276.98,INR,insufficient_funds,Payment failed due to insufficient balance in account,2026-08-24T11:58:40+00:00,1,2026-08-24T19:59:56+00:00
